IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02324121000C,CLARK,-87.612954,39.382654,507,Coal Test,Drillers Log,,,,,-107.5,7.3,,,,,,
02324123000C,CLARK,-87.5659,39.44795,570,Coal Test,Drillers Log,,,,,-15,5.4,,,,,,
02324125000C,CLARK,-87.566295,39.440838,566,Coal Test,Drillers Log,,,,,7.6,4.6,,,,,,
02324126000C,CLARK,-87.629236,39.469376,592,Coal Test,Drillers Log,,,,,-27,5,,,,,,
02324127000C,CLARK,-87.610554,39.469692,585,Coal Test,Drillers Log,,,,,4,4.6,,,,,,
02324128000C,CLARK,-87.595541,39.475832,560,Coal Test,Drillers Log,,,,,63.7,4.4,,,,,,
02324129000C,CLARK,-87.583311,39.466011,525,Coal Test,Drillers Log,,,,,3,5.4,,,,,,
02324130000C,CLARK,-87.583469,39.4518,560,Coal Test,Drillers Log,,,,,-14.8,4.4,,,,,,
02324131000C,CLARK,-87.583468,39.451737,560,Coal Test,Drillers Log,,,,,-12.9,4.5,,,,,,
02324133000C,CLARK,-87.598611,39.458193,575,Coal Test,Drillers Log,,,,,-0.5,4.6,,,,,,
02324134000C,CLARK,-87.637974,39.456182,581,Coal Test,Drillers Log,,,,,-43.5,4.5,,,,,,
02324135000C,CLARK,-87.637974,39.456182,581,Coal Test,Drillers Log,,,,,-42.8,5.51,,,,,,
02324136000C,CLARK,-87.636474,39.437088,575,Coal Test,Drillers Log,,,,,-37.7,6.4,,,,,,
02324137000C,CLARK,-87.648019,39.440411,585,Coal Test,Drillers Log,,,,,-63,6,,,,,,
02324138000C,CLARK,-87.58966,39.433496,560,Coal Test,Drillers Log,,,,,-67.6,1.67,,,,,,
02324139000C,CLARK,-87.575521,39.440711,560,Coal Test,Drillers Log,,,,,48,4.3,,,,,,
02324167000C,CLARK,-87.589707,39.433494,560,Coal Test,Drillers Log,,,,,-66,3.8,,,,,,
02324168000C,CLARK,-87.617994,39.230882,454,Producer-Oil and Gas,Electric Log,93,5,-166,1,-194,5.5,,,,,,
02324234000C,CLARK,-87.599408,39.340859,461,Coal Test,Drillers Log,,,,,-169.2,6.6,,,,,,
02324235000C,CLARK,-87.628114,39.335618,540,Coal Test,Drillers Log,,,,,-180.7,6.1,,,,,,
