IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
07901357000C,JASPER,-88.209728,38.890173,529,Oil and Gas Test,Electric Log,-557,3,-612,5,-647,4.5,-865,,-881,6
07901365000C,JASPER,-88.101127,39.102955,561,Oil and Gas Test,Electric Log,-409,2.5,-441,4,-472,4,-661,,-681,5
07901374000C,JASPER,-88.242618,39.017202,560,Oil and Gas Test,Electric Log,-611,,-649,5,-686,3,-915,,-940,3
07901376000C,JASPER,-88.336539,39.098201,614,Oil and Gas Test,Electric Log,-536,2,-561,5,-594,3,-799,,-826,4
07901380000C,JASPER,-88.186616,38.897651,550,Oil and Gas Test,Electric Log,-561,2,-628,,-650,4,-869,,,
07901418000C,JASPER,-88.158135,38.900056,540,Oil and Gas Test,Electric Log,-521,,-579,,-610,4,-837,,-854,8
07901419000C,JASPER,-88.153912,38.901429,543,Oil and Gas Test,Electric Log,-514,3,-574,,-605,3,-826,,-846,6
07901422000C,JASPER,-88.156462,38.892154,527,Oil and Gas Test,Electric Log,-502,,-554,,-589,3.5,-809,,-824,4
07901436000C,JASPER,-88.198365,38.901419,550,Oil and Gas Test,Electric Log,-564,,-615,,-653,3,-862,,,
07901437000C,JASPER,-88.233458,38.903024,532,Oil and Gas Test,Electric Log,-613,2.5,-662,4,-698,4.5,-918,,-936,6
07901439000C,JASPER,-88.226388,38.891978,541,Oil and Gas Test,Electric Log,-583,3,-635,5.5,-672,4,-899,,-916,6.5
07901440000C,JASPER,-88.158558,38.879182,526,Oil and Gas Test,Electric Log,-514,2,-564,,-599,3,-799,,-827,6
07901443000C,JASPER,-88.158648,38.884689,526,Oil and Gas Test,Electric Log,-502,2,-554,,-585,4.5,-797,,-816,6.5
07901457000C,JASPER,-88.158447,38.873656,520,Oil and Gas Test,Electric Log,-536,,-589,,-627,3,-835,,,
07901459000C,JASPER,-88.158326,38.870913,521,Oil and Gas Test,Electric Log,-538,2,-594,5,-632,3.5,-832,,-843,4.5
07901464000C,JASPER,-88.20855,38.870038,535,Oil and Gas Test,Electric Log,-585,2.5,-639,5.5,-680,4,-901,,-923,6.5
07901467000C,JASPER,-88.06719,38.907113,487,Oil and Gas Test,Electric Log,-457,,,,-563,4,-777,,-816,3
07901469000C,JASPER,-88.124174,38.896362,501,Oil and Gas Test,Electric Log,-409,,-474,5,-507,4,-705,,-730,5
07901485000C,JASPER,-88.140349,38.882129,508,Oil and Gas Test,Electric Log,-468,3,-525,3,-556,3,-769,,-791,6
07901486000C,JASPER,-88.140359,38.878501,506,Oil and Gas Test,Electric Log,-466,2.5,-519,,-552,3.5,-768,,-787,4
07901487000C,JASPER,-88.117112,38.890886,490,Oil and Gas Test,Electric Log,-444,,,,-545,3.5,-759,,-770,8
07901490000C,JASPER,-88.062517,38.885193,480,Oil and Gas Test,Electric Log,-481,,-550,,-586,3.5,-800,,-823,4
07901493000C,JASPER,-88.064955,38.870314,478,Oil and Gas Test,Electric Log,-496,,-569,,-604,3.5,-814,,-828,5
07901543000C,JASPER,-88.147092,38.853455,508,Oil and Gas Test,Electric Log,-495,3,-554,,-595,4,-787,,-798,3
07901588000C,JASPER,-88.030014,38.877324,471,Oil and Gas Test,Electric Log,-509,,-579,4,-622,4,-842,,-857,4
07901597000C,JASPER,-87.99948,38.891415,460,Oil and Gas Test,Electric Log,-455,,-520,,-574,4,-802,,,
07901602000C,JASPER,-88.191967,38.979002,570,Oil and Gas Test,Electric Log,-570,3,-632,6,-664,4.5,-865,,-883,7
07901608000C,JASPER,-88.198817,38.949432,559,Oil and Gas Test,Electric Log,-590,2,-651,5.5,-684,3.5,-901,,-912,6
07901611000C,JASPER,-88.196724,38.921721,563,Oil and Gas Test,Electric Log,-546,1.5,-609,3.5,-639,3,-844,,-859,5.5
07901620000C,JASPER,-88.08496,38.991022,478,Oil and Gas Test,Electric Log,-443,2,-497,4,-547,2.5,-755,,-775,4
07901623000C,JASPER,-88.091829,38.981088,478,Oil and Gas Test,Electric Log,-450,2,-502,4,-547,3,-759,,-791,5
07901640000C,JASPER,-88.103681,38.988923,483,Oil and Gas Test,Electric Log,-445,1.5,-504,4,-546,3,-753,2.5,-775,5
07901648000C,JASPER,-88.120144,38.986659,475,Oil and Gas Test,Electric Log,-461,,-510,4,-556,3,-765,,-785,4
07901680000C,JASPER,-88.096947,38.966117,521,Oil and Gas Test,Electric Log,-439,2,-497,4,-549,3.5,-757,,-775,6
07901687000C,JASPER,-88.073769,38.978908,475,Oil and Gas Test,Electric Log,-438,2.5,-491,,-542,3,,,,
07901701000C,JASPER,-88.122512,38.960188,526,Oil and Gas Test,Electric Log,-451,1.5,-516,3.5,-558,3.5,-759,,-777,3
07901705000C,JASPER,-88.115449,38.954764,524,Oil and Gas Test,Electric Log,,,-523,,-569,3,-766,,-779,3
07901720000C,JASPER,-88.118485,38.924184,497,Oil and Gas Test,Electric Log,-449,,-516,,-558,4,-763,,-775,5
07901721000C,JASPER,-88.120725,38.929484,510,Oil and Gas Test,Electric Log,-451,2,-518,4,-558,4.5,-761,,-776,3
07901727000C,JASPER,-88.149706,38.912822,551,Oil and Gas Test,Electric Log,-519,,-586,,-622,3.5,-841,,-860,6
07901741000C,JASPER,-88.110406,38.917116,495,Oil and Gas Test,Electric Log,-445,,-515,,-555,3,-763,,-785,
07901768000C,JASPER,-88.310481,38.998354,565,Oil and Gas Test,Electric Log,-558,3,-596,5,-639,4,-835,,-862,6
07901782000C,JASPER,-88.080862,39.031166,541,Oil and Gas Test,Electric Log,-481,3,-521,4,-562,3.5,-755,,,
07901800000C,JASPER,-88.045827,39.031032,527,Oil and Gas Test,Electric Log,-370,2.5,-415,3,-456,3,-651,,-676,5
07901804000C,JASPER,-88.061827,39.016573,531,Oil and Gas Test,Electric Log,-386,,-435,3.5,-473,,-659,,-693,4.5
07901833000C,JASPER,-88.103607,39.016772,532,Oil and Gas Test,Electric Log,-506,1.5,-543,5,-583,2.5,-796,,-811,5
07901835000C,JASPER,-88.136952,39.00572,479,Oil and Gas Test,Electric Log,-543,1.5,-593,2.5,-629,4,-849,,-864,5
07901858000C,JASPER,-88.059091,39.002149,515,Oil and Gas Test,Electric Log,-400,1.5,-452,3,-496,3,-703,,-723,4
07901864000C,JASPER,-88.034414,39.073179,535,Oil and Gas Test,Electric Log,-300,3,-330,3,-383,3,-572,,-601,3
07901865000C,JASPER,-88.030071,39.041271,527,Oil and Gas Test,Electric Log,-361,2,-406,3,-455,2.5,-655,,-685,4
07901866000C,JASPER,-88.036689,39.040208,531,Oil and Gas Test,Electric Log,-363,,-425,,-449,2.5,-651,,-679,4
07901877000C,JASPER,-88.122771,39.120761,540,Oil and Gas Test,Electric Log,-436,2,-470,,-503,3,-690,,,
07901878000C,JASPER,-88.125189,39.124407,565,Oil and Gas Test,Electric Log,-428,3,-460,4,-495,4,-688,,-701,6
07901909000C,JASPER,-88.223736,39.108661,565,Oil and Gas Test,Electric Log,-586,3,-622,5,-659,4.5,-863,,-882,6
07901911000C,JASPER,-88.231954,38.911269,544,Oil and Gas Test,Electric Log,-608,,-658,3,-695,3.5,-902,,-916,3
07901924000C,JASPER,-88.191915,39.155036,555,Oil and Gas Test,Electric Log,-507,,-534,,-578,,-760,,-800,
07902113000C,JASPER,-88.041265,39.131281,541,Oil and Gas Test,Electric Log,-231,2,-253,3,-304,3,-469,,-498,4
07902212000C,JASPER,-88.252743,39.164647,585,Oil and Gas Test,Electric Log,-525,2,-552,,-585,3,-770,,,
07902276000C,JASPER,-88.227455,38.962104,555,Oil and Gas Test,Electric Log,-632,2.5,-684,5.5,-722,3,-931,,-951,8
07902316000C,JASPER,-88.343496,39.153202,590,Oil and Gas Test,Electric Log,-504,2.5,-531,4,-560,3,-768,,-789,5
07902420000C,JASPER,-88.306273,38.864995,478,Oil and Gas Test,Electric Log,-627,2,-675,4,-722,4,-916,,-939,4.5
07902423000C,JASPER,-87.975201,38.975839,479,Oil and Gas Test,Electric Log,-391,,-446,3,-500,,-710,,-735,
07902437000C,JASPER,-88.008572,38.976945,484,Oil and Gas Test,Electric Log,-409,,-463,4,,,-741,,-761,
07903083000C,JASPER,-88.24992,39.032043,569,Oil and Gas Test,Electric Log,,,-641,2,-673,4,-906,,-916,8
07904017000C,JASPER,-88.094722,38.960805,522,Oil and Gas Test,Electric Log,-430,2,-483,4,-538,3,-735,,-753,3
07904031000C,JASPER,-87.981319,39.137263,548,Oil and Gas Test,Electric Log,59,2,42,,-7,,-148,,,
07922549000C,JASPER,-88.323979,39.041224,597,Oil and Gas Test,Electric Log,-553,3,-593,4,-633,2,-840,,-860,6
07922557000C,JASPER,-87.963306,38.887663,469,Oil and Gas Test,Electric Log,-466,,-528,,-581,3,-808,,-832,3
07922576000C,JASPER,-88.276957,39.170461,592,Oil and Gas Test,Nuclear Log,-539,3.5,-569,5.5,-596,3,-809,,-826,5
07922729000C,JASPER,-88.087852,39.136216,571,Oil and Gas Test,Electric Log,-322,2,-352,,-389,3.5,-561,,-581,4
07922758000C,JASPER,-88.323712,38.88308,510,Coal Test,Multiple log types,-588,2,-636,5,-679,4,,,,
07922759000C,JASPER,-88.296159,38.859775,460,Coal Test,Multiple log types,-597,2.5,-645,6,-686,4.5,,,,
07922760000C,JASPER,-88.224992,38.883726,530,Coal Test,Multiple log types,-580,3,-628.5,5.5,-665.5,4.5,,,,
07922761000C,JASPER,-88.281832,38.992238,558.6,Coal Test,Multiple log types,-607.6,3.1,-651.3,5.85,-693.7,4.55,,,,
07922762000C,JASPER,-88.287824,38.950642,548,Coal Test,Multiple log types,-615.7,3.9,-656.1,5.65,-694.8,3.8,,,,
07922763000C,JASPER,-88.281934,38.964655,550,Coal Test,Multiple log types,-635.2,3.2,-678.5,5.3,-714.8,4,,,,
07922764000C,JASPER,-88.240562,38.986727,551.7,Coal Test,Multiple log types,-628.3,3.25,-677.6,5.75,-717.6,4.05,,,,
07922765000C,JASPER,-88.231117,38.979592,530,Coal Test,Multiple log types,-637.5,2.9,-683,6.2,-721,4.1,,,,
07922766000C,JASPER,-88.174062,38.936048,550,Coal Test,Multiple log types,-552.2,2.8,-612.6,5.4,-645.8,3.2,,,,
07922767000C,JASPER,-88.221863,39.060096,550,Coal Test,Drillers Log,-597,2.8,-633,5,-669,3,,,,
07922768000C,JASPER,-88.222668,39.007603,556,Coal Test,Drillers Log,-663,2.5,-723,6.3,-764,5.1,,,,
07922769000C,JASPER,-88.33062,39.146616,580,Coal Test,Drillers Log,-498.2,3.8,-525.5,5,-555.1,3.9,,,,
07922770000C,JASPER,-88.279263,39.084756,580,Coal Test,Drillers Log,-591,4.3,-626,6.3,-663,4,,,,
07922771000C,JASPER,-88.2293,39.142017,570,Coal Test,Multiple log types,-555.8,3.78,-586.9,5.4,-624.5,4.15,,,,
07922772000C,JASPER,-88.171774,39.130457,565,Coal Test,Drillers Log,-498.5,4,-532.2,5.3,-567,2.5,,,,
07922773000C,JASPER,-88.169824,39.104621,560,Coal Test,Drillers Log,-463.5,3.5,-496.5,5.5,-530,4,,,,
07922775000C,JASPER,-88.34331,38.953302,554,Coal Test,Drillers Log,-580,2.5,-622.9,5.6,-665,4,,,,
07922776000C,JASPER,-88.324165,38.908833,535,Coal Test,Multiple log types,-577,3.5,-622.5,4.95,-668,4.65,,,,
07922777000C,JASPER,-88.31963,39.027047,576,Coal Test,Multiple log types,-574.8,3.1,-618,5.65,-661.2,3.3,,,,
07922779000C,JASPER,-88.249205,38.913101,520,Coal Test,Multiple log types,-630.5,3,-675,5.9,-711.9,4.32,,,,
07922780000C,JASPER,-88.188229,38.972877,550,Coal Test,Multiple log types,-564,2.5,-627.8,5.7,-657,4,,,,
07922783000C,JASPER,-88.168806,39.038712,540,Coal Test,Multiple log types,-562,3.5,-608,6,-641.5,4,,,,
07922803000C,JASPER,-88.360708,39.072966,600,Coal Test,Multiple log types,-508,3.5,-535.5,6.5,-568.5,4.8,,,,
07922818000C,JASPER,-88.361522,39.044372,585,Coal Test,Multiple log types,-509,3.7,-533.7,5.65,-570.8,4.65,,,,
07922846000C,JASPER,-88.260435,38.983754,558.9,Coal Test,Multiple log types,-621.6,3.5,-660.2,6,-700.1,3.95,,,,
07922847000C,JASPER,-88.305643,38.99696,560,Coal Test,Multiple log types,-572,2,-612.8,5.86,-653.1,3.91,,,,
07922848000C,JASPER,-88.306381,38.969135,551,Coal Test,Multiple log types,-609,3,-649.1,6.3,-691.5,4.8,,,,
07922849000C,JASPER,-88.279178,38.971752,552,Coal Test,Multiple log types,-615,4,-653.6,5.8,-691.8,4.2,,,,
07922850000C,JASPER,-88.213972,38.990743,550,Coal Test,Multiple log types,-608.5,2.5,-659.9,6.4,-694.8,3.29,,,,
07922851000C,JASPER,-88.260066,38.962961,551,Coal Test,Multiple log types,-663,3,-706.1,5.6,-746.6,4.5,,,,
07922852000C,JASPER,-88.279006,39.006786,565,Coal Test,Multiple log types,-588,3.5,-625,6,-669.2,4.59,,,,
07922853000C,JASPER,-88.164366,39.06428,561,Coal Test,Multiple log types,-491.5,3.5,-528.9,5.7,-564.3,2.5,,,,
07922854000C,JASPER,-88.200952,39.02746,485,Coal Test,Multiple log types,-587,3,-633.5,5.55,-672.3,4.05,,,,
07922855000C,JASPER,-88.245654,39.011633,556,Coal Test,Multiple log types,-612.5,3.5,-651.4,5.73,-687.6,4.55,,,,
07922856000C,JASPER,-88.259209,39.021889,561.7,Coal Test,Multiple log types,-601.3,3,-640.3,6,,,,,,
07922857000C,JASPER,-88.258412,39.023733,560,Coal Test,Multiple log types,-596,3,-639.1,6.07,-676.4,3.42,,,,
07922858000C,JASPER,-88.189683,39.043686,556,Coal Test,Multiple log types,-605.5,3,-641.1,5.62,-681.2,0.41,,,,
07922859000C,JASPER,-88.217544,39.001719,553,Coal Test,Multiple log types,-621.5,3.5,-683.5,6.5,-723,4,,,,
07922860000C,JASPER,-88.317296,39.115638,588,Coal Test,Drillers Log,-557,4,-602,7.5,-643,4.5,,,,
07922861000C,JASPER,-88.345165,39.095653,600,Coal Test,Drillers Log,-532,3.8,-560.5,7.5,-587,6,,,-816.5,6.5
07922862000C,JASPER,-88.190678,39.097306,496,Coal Test,Multiple log types,-536.4,3.85,-570.3,5.99,-608.5,3.8,,,,
07922863000C,JASPER,-88.048921,39.116439,541,Coal Test,Multiple log types,-313.7,3.92,-343.7,4.95,-380,3,,,,
07922864000C,JASPER,-88.086197,39.103717,552,Coal Test,Multiple log types,-390,3,-423.5,4.5,-456,4,,,,
07923130000C,JASPER,-88.179075,39.061753,500,Coal Test,Multiple log types,-540,3,-579.8,6.2,-615,3.8,,,,
07923131000C,JASPER,-88.279724,39.151539,585,Coal Test,Drillers Log,-538.8,4,-568,6,-596.8,3.9,,,,
07923132000C,JASPER,-88.263493,39.127073,580,Coal Test,Drillers Log,-530,3.5,-563,5.5,-600.5,4,-808.2,1.8,-829,6
07923133000C,JASPER,-88.208243,39.106513,500,Coal Test,Drillers Log,-574.5,3.5,-610,6.5,-651,4.5,,,,
07923153000C,JASPER,-88.210895,38.899253,543,Coal Test,Drillers Log,-584.5,3.5,-639,5.3,-677.4,4.05,,,,
07923154000C,JASPER,-88.176033,38.890667,540,Coal Test,Multiple log types,-521.5,3,-579.8,5.7,-616,3,,,,
07923155000C,JASPER,-88.259988,38.913026,543,Coal Test,Multiple log types,-642,3.5,-685,5.5,-724,5,,,,
07923156000C,JASPER,-88.21934,38.966758,550,Coal Test,Multiple log types,-616,2.5,-668,6.4,-702.4,3.9,-924.5,2.2,-944,7.1
07923157000C,JASPER,-88.152017,38.95357,510,Coal Test,Multiple log types,-498,3,-558.2,5.65,-599.7,4.1,,,,
07923158000C,JASPER,-88.169626,38.922287,575,Coal Test,Multiple log types,-500.5,2.5,-558.8,5.7,-591,4.5,,,,
07923159000C,JASPER,-88.223552,38.92039,550,Coal Test,Multiple log types,-650,3.5,-714.5,5.5,-754,4.5,,,,
07923160000C,JASPER,-88.126391,38.971134,530,Coal Test,Multiple log types,,,-552.5,5.5,-594,3.5,,,,
07923161000C,JASPER,-88.246405,39.104832,570,Coal Test,Drillers Log,-556.2,3.5,-589,5.7,-631.3,4.5,,,,
07923162000C,JASPER,-88.211488,39.091988,500,Coal Test,Drillers Log,-569.2,3.8,-603.5,6.2,-644,3,,,,
07923172000C,JASPER,-88.343204,38.880043,512,Coal Test,Drillers Log,-539,3.5,-584.5,5.45,-629.4,4.75,-832,2,-851.5,5
07923173000C,JASPER,-88.151615,38.976763,530,Coal Test,Drillers Log,-509,2,-558.1,6,-599,4.5,,,-816.7,6.5
07923174000C,JASPER,-88.189482,38.954244,565,Coal Test,Multiple log types,-597,2.5,-648,5.2,-680,4,-894.7,1.3,-905.5,7.9
07923175000C,JASPER,-88.207197,38.94299,560,Coal Test,Multiple log types,-625,2,-688.2,6.2,-724,4.5,-973,1,-983,10.5
07923176000C,JASPER,-88.240559,38.930575,540,Coal Test,Multiple log types,-659.5,3.5,-705.5,6.3,-743.5,4.5,,,,
07923177000C,JASPER,-88.260905,39.060705,570,Coal Test,Multiple log types,-611.6,3.9,-648.8,5.7,-687.3,4.7,-904,1,-922.5,7.5
07923204000C,JASPER,-88.279092,39.107788,585,Coal Test,Drillers Log,-590.5,3.1,-624,6,-665.3,4.7,-884,2,-904,7.5
07923255000C,JASPER,-88.352367,38.968253,559,Coal Test,Multiple log types,-569,3,-607,5.5,-649.5,4.5,-877,2.5,-892,7.3
07923257000C,JASPER,-88.205328,39.077981,500,Coal Test,Multiple log types,-542,3,-576.8,5.65,-611.5,4,,,-839.6,4.9
07923258000C,JASPER,-88.236941,39.023419,558,Coal Test,Drillers Log,-597,3.5,-639.5,5.5,-681,4,-906,2,-919,6
07923259000C,JASPER,-88.152337,39.073136,562,Coal Test,Multiple log types,-492,4,-530.5,4.9,-565.5,5,-773,3,-786,4.6
07923260000C,JASPER,-88.281475,39.171113,576,Coal Test,Multiple log types,-549,4,-577.6,6.03,-606.5,4.5,-832.5,2.5,-853.2,5.6
07923261000C,JASPER,-88.353649,39.133187,592,Coal Test,Drillers Log,-530,3,-556,5.5,-588,4.5,-789,3,-830,1
07923262000C,JASPER,-88.17065,39.17141,575,Coal Test,Multiple log types,-493.5,3.5,-527.1,5.75,-562,3.5,,,-767.1,4.75
07923270000C,JASPER,-88.322728,38.866814,503,Coal Test,Multiple log types,-594,3.5,-640.3,5.6,-685.5,3.5,-912,2.5,-921,5.9
07923271000C,JASPER,-88.169208,38.91496,,Coal Test,Multiple log types,,3,,5.8,,4.2,,1.55,,7.5
07923272000C,JASPER,-88.056324,38.947783,492,Coal Test,Multiple log types,-443.5,2.5,-487.5,4,-538.7,4.3,-761,2,-774.3,4
07923345000C,JASPER,-88.298472,39.073569,592,Coal Test,Multiple log types,-595,3,-633,5.25,-671,4.5,-895,2.5,-922,6.85
07923384000C,JASPER,-88.342139,39.014408,575,Coal Test,Multiple log types,-544.5,3.5,-582,5.5,-621,4,-831,1,-855,8
07923492000C,JASPER,-88.152056,38.903691,551,Oil and Gas Test,Induction Log,,,,,-592,3,,,-830,6.5
07923560000C,JASPER,-88.200065,39.004399,562,Oil and Gas Test,Induction Log,,,-638,5,,,,,-900,6
07923587000C,JASPER,-88.349387,39.161592,595,Coal Test,Multiple log types,-499.2,4.8,-526.7,6.33,,,-778,,-793.5,7.3
07923627000C,JASPER,-88.353692,39.060498,588,Coal Test,Multiple log types,-536.5,3.5,-563.8,6.4,-604.5,3.5,-801,2,-828.2,6.1
07924121000C,JASPER,-88.297899,39.042631,577,Coal Test,Multiple log types,-582,3.5,-621.2,5.5,-658.5,4.5,-869.5,1.5,-898.6,6.9
07924169000C,JASPER,-88.156222,38.881105,526,Oil and Gas Test,Induction Log,,,,,-591,4,,,-820,4
07924199000C,JASPER,-88.205017,38.891987,549,Oil and Gas Test,Nuclear Log,-548,2.5,-601,6.25,-637,3.25,,,-868,3.5
07924232000C,JASPER,-88.204987,38.890165,545,Oil and Gas Test,Nuclear Log,-548,3,-605,5.25,-641,3.5,,,-871,4
07924402000C,JASPER,-88.200469,38.895722,560,Oil and Gas Test,Nuclear Log,-543,4,-595,5.5,-633,4,,,-861,6
07924684000C,JASPER,-88.307601,39.130084,585,Coal Test,Drillers Log,-548,4.5,-578.4,6.9,-607,3.8,,,,
07924691000C,JASPER,-88.297839,39.009417,566,Coal Test,Multiple log types,-559.5,3.5,-603.6,6.15,-653,4,-865.5,2,-875.8,0.9
07924692000C,JASPER,-88.189208,39.007737,540,Coal Test,Multiple log types,-610,3,-661.5,6.2,,,,,,
10100004000C,LAWRENCE,-87.687949,38.740636,418,Oil and Gas Test,Electric Log,8,,,,-99,3,,,,
10100007000C,LAWRENCE,-87.784246,38.66764,492,Oil and Gas Test,Electric Log,-65,3.5,,,-176,4,-361,,,
10100008000C,LAWRENCE,-87.795926,38.698664,500,Oil and Gas Test,Electric Log,-66,2.5,,,-180,3,-360,,-370,3.5
10100009000C,LAWRENCE,-87.58332,38.699751,413,Oil and Gas Test,Electric Log,17,4,,,-87,,-290,,-311,2
10100018000C,LAWRENCE,-87.837551,38.576059,524,Oil and Gas Test,Electric Log,-202,3,-226,2.5,-325,3.5,-514,,-566,
10100019000C,LAWRENCE,-87.818759,38.579557,469,Oil and Gas Test,Electric Log,-197,3,-226,3,-330,2.5,-523,,-565,
10100021000C,LAWRENCE,-87.851258,38.594634,483,Oil and Gas Test,Electric Log,-207,3.5,-233,,-327,3,-521,,-573,
10100023000C,LAWRENCE,-87.881614,38.600395,461,Oil and Gas Test,Electric Log,-246,3.5,,,-377,3.5,-589,,-624,2.5
10100027000C,LAWRENCE,-87.82724,38.622004,470,Oil and Gas Test,Electric Log,-182,4,-210,2.5,-296,3.5,-480,,,
10100028000C,LAWRENCE,-87.836578,38.62395,497,Oil and Gas Test,Electric Log,-213,3.5,-244,3,-324,4,-516,,-552,
10100029000C,LAWRENCE,-87.907622,38.615881,540,Oil and Gas Test,Electric Log,-385,3.5,-418,3.5,-546,,,,,
10100033000C,LAWRENCE,-87.69569,38.576505,420,Oil and Gas Test,Electric Log,-52,3.5,,,-159,3,-384,,-396,
10100034000C,LAWRENCE,-87.702281,38.596605,426,Oil and Gas Test,Electric Log,2,4,-24,3,-88,3.5,-284,,-345,3.5
10100037000C,LAWRENCE,-87.748931,38.605905,429,Oil and Gas Test,Electric Log,-149,2.5,,,-251,3.5,,,,
10100041000C,LAWRENCE,-87.795703,38.636726,470,Oil and Gas Test,Electric Log,-72,3,,,-188,3,-402,,-456,3.5
10100044000C,LAWRENCE,-87.622144,38.593709,401,Oil and Gas Test,Electric Log,54,4.5,23,,-50,3.5,-265,,-278,4.5
10100048000C,LAWRENCE,-87.63169,38.624297,406,Oil and Gas Test,Electric Log,26,4,,,-67,,-283,,-305,5
10100050000C,LAWRENCE,-87.787477,38.708781,472.9,Coal Test,Survey Core Study,-55.4,1.92,-79.2,4.17,-158.9,3.42,-345.4,1.33,-352.7,3.38
10100051000C,LAWRENCE,-87.796027,38.680331,459,Coal Test,Survey Core Study,-65.8,2.75,-90.1,3.52,-157,3.25,-353.8,0.79,-370.9,6.68
10100057000C,LAWRENCE,-87.513089,38.729381,,Coal Test,Drillers Log,,3.5,,2.5,,4.58,,,,
10100059000C,LAWRENCE,-87.516453,38.74908,410,Coal Test,Drillers Log,104,5,68.5,2,-13,4.5,,,,
10100060000C,LAWRENCE,-87.505985,38.759065,414,Coal Test,Drillers Log,111.5,4.5,75,3,-4.5,4.25,,,,
10100062000C,LAWRENCE,-87.676961,38.725172,420,Coal Test,Drillers Log,46.3,3,20.1,2.08,-43,3,,,,
10100102000C,LAWRENCE,-87.857508,38.681014,503,Oil and Gas Test,Electric Log,-281,3,-331,,-419,,-579,,,
10100137000C,LAWRENCE,-87.673721,38.817497,440,Coal Test,Drillers Log,74,4.8,23,4.5,,,,,,
10100138000C,LAWRENCE,-87.671512,38.798959,440,Coal Test,Drillers Log,61.5,4.5,8,4.5,,,,,,
10100164000C,LAWRENCE,-87.666561,38.782136,440,Coal Test,Drillers Log,36,4.5,,,,,,,,
10100257000C,LAWRENCE,-87.73271,38.591209,429,Oil and Gas Test,Electric Log,-39,3,-65,3.5,-137,3,-322,,-357,2
10100260000C,LAWRENCE,-87.714012,38.591123,439,Oil and Gas Test,Electric Log,-14,3.5,,,-108,2.5,-301,,,
10100285000C,LAWRENCE,-87.702219,38.611352,435,Oil and Gas Test,Electric Log,21,3,-4,,-67,3,-285,,-299,4.5
10100287000C,LAWRENCE,-87.755781,38.626105,456,Oil and Gas Test,Electric Log,-161,2.5,-190,2,-253,2.5,-469,,-495,3
10100288000C,LAWRENCE,-87.78415,38.622798,436,Oil and Gas Test,Electric Log,-132,3,-163,,-252,3,-436,,-494,5
10100290000C,LAWRENCE,-87.704531,38.613164,432,Oil and Gas Test,Electric Log,23,2.5,-2,,-66,2,-275,,,
10100292000C,LAWRENCE,-87.713787,38.62483,440,Oil and Gas Test,Electric Log,54,3,30,,-38,3.5,-237,,-262,4.5
10100293000C,LAWRENCE,-87.725515,38.616779,455,Oil and Gas Test,Electric Log,1,4,-25,,-97,3.5,-301,,-326,3.5
10100294000C,LAWRENCE,-87.781451,38.637951,430,Oil and Gas Test,Electric Log,-85,2,-112,,-199,3,-404,,-459,3
10100295000C,LAWRENCE,-87.741711,38.631962,426,Oil and Gas Test,Electric Log,-89,3,-117,,-185,2.5,-384,,-410,5
10100297000C,LAWRENCE,-87.786804,38.61737,430,Oil and Gas Test,Electric Log,-138,2,,,-257,3,-442,,-504,2.5
10100298000C,LAWRENCE,-87.769739,38.622537,443,Oil and Gas Test,Electric Log,-145,3,-177,,-251,4,-456,,-486,5
10100299000C,LAWRENCE,-87.760402,38.639796,451,Oil and Gas Test,Electric Log,-134,3,-167,,-236,3,-455,,-479,4
10100300000C,LAWRENCE,-87.788983,38.635983,459,Oil and Gas Test,Electric Log,-90,3,,,-202,3.5,-411,,-471,4
10100308000C,LAWRENCE,-87.772296,38.604204,425,Oil and Gas Test,Electric Log,-195,3,-221,,-303,3,-499,,-525,3.5
10100309000C,LAWRENCE,-87.78206,38.599109,447,Oil and Gas Test,Electric Log,-139,3,,,-261,2.5,-448,,-472,3
10100312000C,LAWRENCE,-87.744291,38.598528,486,Oil and Gas Test,Electric Log,-72,2.5,-100,,-172,2.5,-367,,-402,2.5
10100314000C,LAWRENCE,-87.725643,38.594845,463,Oil and Gas Test,Electric Log,-10,3,,,-101,3,-287,,-340,4
10100315000C,LAWRENCE,-87.765401,38.593247,427,Oil and Gas Test,Electric Log,-216,2.5,-243,3,-323,3,-510,,-655,
10100316000C,LAWRENCE,-87.792278,38.592042,442,Oil and Gas Test,Electric Log,-146,3,-171,3,-270,3.5,-444,,-462,5
10100319000C,LAWRENCE,-87.720999,38.592992,452,Oil and Gas Test,Electric Log,-12,3.5,,,-105,2.5,-295,,-338,2
10100320000C,LAWRENCE,-87.712334,38.584393,430,Oil and Gas Test,Electric Log,-22,3.5,-47,,-121,2,-320,,-346,2.5
10100321000C,LAWRENCE,-87.686492,38.580208,420,Oil and Gas Test,Electric Log,-14,3.5,,,-125,3.5,-342,,-367,2.5
10100325000C,LAWRENCE,-87.747053,38.574928,429,Oil and Gas Test,Electric Log,-81,3,-103,,-185,2.5,-394,,-423,3
10100326000C,LAWRENCE,-87.765794,38.571466,450,Oil and Gas Test,Electric Log,-127,3,-150,,-259,,-460,,-489,2.5
10100327000C,LAWRENCE,-87.795129,38.577438,454,Oil and Gas Test,Electric Log,-191,2,-223,,-338,3,-506,,-572,2.5
