IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02300854000C,CLARK,-87.613764,39.383261,503,Oil and Gas Test,Electric Log,219,3,93,,58,,-90,,,
02300855000C,CLARK,-87.576378,39.366528,538,Oil and Gas Test,Electric Log,259,2.5,138,,114,2.5,-47,,-78,2
02300856000C,CLARK,-87.632273,39.37422,557,Oil and Gas Test,Electric Log,212,3,86,,59,3.5,-91,,-114,2
02300857000C,CLARK,-87.648455,39.367182,563,Oil and Gas Test,Electric Log,208,3.5,88,,63,3.5,-87,,-119,2.5
02300858000C,CLARK,-87.59027,39.354913,500,Oil and Gas Test,Electric Log,218,4,100,1,70,4,-104,4,-130,7
02300859000C,CLARK,-87.7354,39.400251,566,Oil and Gas Test,Electric Log,105,2,-14,,-36,4,-186,,,
02300860000C,CLARK,-87.750052,39.398212,614,Oil and Gas Test,Electric Log,51,2,-47,2.5,-63,4,-189,,-211,3
02300861000C,CLARK,-87.743621,39.376379,597,Oil and Gas Test,Electric Log,86,3.5,-29,2,-53,4,-179,,-202,3.5
02300862000C,CLARK,-87.925301,39.355549,633,Oil and Gas Test,Electric Log,440,3,373,2.5,351,2,,,233,1
02300863000C,CLARK,-87.548505,39.448804,516,Oil and Gas Test,Electric Log,359,4.5,238,3,223,3,62,,28,4.5
02300864000C,CLARK,-87.555709,39.459667,580,Oil and Gas Test,Electric Log,386,2.5,265,2,249,1.5,86,,53,3.5
02300866000C,CLARK,-87.618514,39.454027,580,Oil and Gas Test,Electric Log,279,3.5,181,3,139,2,-5,,-27,2.5
02300867000C,CLARK,-87.655921,39.436021,571,Oil and Gas Test,Electric Log,232,3,,,95,2,-57,,,
02300868000C,CLARK,-87.785682,39.457834,656,Oil and Gas Test,Electric Log,213,2.5,,,74,3.5,-24,,,
02300869000C,CLARK,-87.809177,39.242391,596,Oil and Gas Test,Electric Log,24,4,-27,,-66,2.5,-212,,-246,2.5
02300872000C,CLARK,-87.907299,39.225889,587,Oil and Gas Test,Electric Log,401,1.5,363,,327,2,220,,187,
02300873000C,CLARK,-87.97684,39.193669,592,Oil and Gas Test,Electric Log,208,2.5,165,2.5,126,,-7,,-36,4
02300877000C,CLARK,-87.933244,39.480859,688,Oil and Gas Test,Electric Log,478,2,380,,364,2,,,,
02300878000C,CLARK,-87.532625,39.441562,502,Oil and Gas Test,Nuclear Log,406,3.5,,,268,3.5,117,,75,4
02300879000C,CLARK,-87.56004,39.376375,547,Oil and Gas Test,Nuclear Log,334,4,,,208,3.5,55,,,
02300881000C,CLARK,-87.545206,39.476823,578.3,Coal Test,Drillers Log,393.3,1,280.3,2,257.3,5,,,58.3,6
02300882000C,CLARK,-87.944453,39.330615,630,Oil and Gas Test,Electric Log,470,3.5,406,2,391,3,280,,254,2.5
02300885000C,CLARK,-87.921069,39.302485,611,Oil and Gas Test,Electric Log,441,3.5,402,2,373,5,267,,238,3
02300891000C,CLARK,-87.921201,39.381907,662,Oil and Gas Test,Electric Log,482,3,402,2.5,383,3,,,,
02300914000C,CLARK,-87.943593,39.226127,582,Oil and Gas Test,Electric Log,414,2.5,376,2,344,2,234,,210,4.5
02300920000C,CLARK,-87.983681,39.182571,583,Oil and Gas Test,Electric Log,207,2,169,3,127,2.5,-1,,-37,2.5
02300930000C,CLARK,-87.76819,39.20363,542,Oil and Gas Test,Electric Log,47,2.5,0,1.5,-37,3,-208,,-258,5.5
02300963000C,CLARK,-87.904399,39.285986,549,Oil and Gas Test,Electric Log,,,382,1,358,2,,,,
02301001000C,CLARK,-87.889175,39.312329,555,Oil and Gas Test,Electric Log,388,,331,,313,,230,,186,
02301013000C,CLARK,-87.817722,39.209454,588,Oil and Gas Test,Electric Log,33,2.5,-17,1.5,-60,2,,,,
02301014000C,CLARK,-87.845433,39.196238,584,Oil and Gas Test,Electric Log,22,3,-29,1.5,-73,3.5,-226,,-258,6
02301015000C,CLARK,-87.845168,39.187098,582,Oil and Gas Test,Electric Log,28,3,-25,2,-68,4,-218,,-259,6
02301066000C,CLARK,-87.957076,39.42954,642,Oil and Gas Test,Electric Log,,,478,3,461,3,372,,349,
02301103000C,CLARK,-87.650999,39.26743,521,Oil and Gas Test,Electric Log,121,3.5,61,2,15,3.5,-106,,,
02301106000C,CLARK,-87.660359,39.272868,521,Oil and Gas Test,Electric Log,114,3,51,2,7,3.5,,,,
02301152000C,CLARK,-87.564222,39.370492,542,Oil and Gas Test,Electric Log,315,2.5,,,173,4,6,,,
02301158000C,CLARK,-87.534124,39.404429,480,Oil and Gas Test,Electric Log,350,1.5,213,,183,2,34,,,
02301182000C,CLARK,-87.987411,39.394636,662,Oil and Gas Test,Electric Log,,,544,2,524,1.5,457,,,
02301209000C,CLARK,-87.992146,39.438125,690,Oil and Gas Test,Electric Log,,,490,2,471,,,,,
02301211000C,CLARK,-87.620589,39.325552,468,Oil and Gas Test,Electric Log,159,2.5,35,2,4,3.5,-136,,,
02301218000C,CLARK,-87.932775,39.291406,611,Oil and Gas Test,Electric Log,397,2,356,1,333,2,229,,198,2.5
02301223000C,CLARK,-87.97505,39.417523,650,Oil and Gas Test,Electric Log,,,511,2,493,3,411,,384,4
02301224000C,CLARK,-87.815029,39.432807,647,Oil and Gas Test,Electric Log,183,,57,,38,,-80,,-99,
02301248000C,CLARK,-87.78223,39.27939,603,Oil and Gas Test,Electric Log,58,4,6,2,-30,3.5,-133,,,
02301259000C,CLARK,-87.767835,39.397599,627,Oil and Gas Test,Electric Log,110,2,-11,2,-28,3,-145,,-166,4.5
02301263000C,CLARK,-87.651,39.278237,526,Oil and Gas Test,Electric Log,126,,58,,21,3.5,-111,,-171,4.5
02301267000C,CLARK,-87.951573,39.443412,645,Oil and Gas Test,Electric Log,539,2.5,468,,439,1.5,344,,320,
02301274000C,CLARK,-87.761785,39.430924,636,Oil and Gas Test,Electric Log,124,,3,,-16,2.5,-94,,,
02301289000C,CLARK,-87.758151,39.472538,576,Oil and Gas Test,Electric Log,156,2,,,22,3,-107,,,
02301293000C,CLARK,-87.777228,39.399256,632,Oil and Gas Test,Electric Log,119,3,-6,3.5,-18,3.5,-133,,-158,3
